[2020-08-16 08:13:47,225] chlorophyll.nn       INFO    : starting 10000 optimization passes on NN model (16->12->1) w/ 0.001 learning rate
[2020-08-16 08:23:25,175] chlorophyll.nn       INFO    :   5899 -  214086304.0 (  -1913792.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:25,500] chlorophyll.nn       INFO    :   5999 -  212122304.0 (  -1964000.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:25,925] chlorophyll.nn       INFO    :   6099 -  210113792.0 (  -2008512.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:26,309] chlorophyll.nn       INFO    :   6199 -  208066240.0 (  -2047552.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:26,634] chlorophyll.nn       INFO    :   6299 -  205985008.0 (  -2081232.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:26,962] chlorophyll.nn       INFO    :   6399 -  203875136.0 (  -2109872.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:27,288] chlorophyll.nn       INFO    :   6499 -  201741376.0 (  -2133760.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:27,611] chlorophyll.nn       INFO    :   6599 -  199588224.0 (  -2153152.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:27,933] chlorophyll.nn       INFO    :   6699 -  197419872.0 (  -2168352.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:28,263] chlorophyll.nn       INFO    :   6799 -  195240240.0 (  -2179632.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:28,588] chlorophyll.nn       INFO    :   6899 -  193052992.0 (  -2187248.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:28,912] chlorophyll.nn       INFO    :   6999 -  190861584.0 (  -2191408.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:29,236] chlorophyll.nn       INFO    :   7099 -  188669184.0 (  -2192400.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:29,556] chlorophyll.nn       INFO    :   7199 -  186478608.0 (  -2190576.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:29,878] chlorophyll.nn       INFO    :   7299 -  184292416.0 (  -2186192.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:30,203] chlorophyll.nn       INFO    :   7399 -  182112752.0 (  -2179664.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:30,527] chlorophyll.nn       INFO    :   7499 -  179941280.0 (  -2171472.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:30,850] chlorophyll.nn       INFO    :   7599 -  177779232.0 (  -2162048.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:31,176] chlorophyll.nn       INFO    :   7699 -  175627296.0 (  -2151936.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:31,524] chlorophyll.nn       INFO    :   7799 -  173485664.0 (  -2141632.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:31,857] chlorophyll.nn       INFO    :   7899 -  171353936.0 (  -2131728.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:32,184] chlorophyll.nn       INFO    :   7999 -  169231008.0 (  -2122928.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:32,507] chlorophyll.nn       INFO    :   8099 -  167114656.0 (  -2116352.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:32,826] chlorophyll.nn       INFO    :   8199 -  165001056.0 (  -2113600.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:33,149] chlorophyll.nn       INFO    :   8299 -  162887024.0 (  -2114032.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:33,495] chlorophyll.nn       INFO    :   8399 -  160774016.0 (  -2113008.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:33,819] chlorophyll.nn       INFO    :   8499 -  158661392.0 (  -2112624.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:34,209] chlorophyll.nn       INFO    :   8599 -  156556848.0 (  -2104544.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:34,552] chlorophyll.nn       INFO    :   8699 -  154474624.0 (  -2082224.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:34,909] chlorophyll.nn       INFO    :   8799 -  152411424.0 (  -2063200.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:35,238] chlorophyll.nn       INFO    :   8899 -  150364640.0 (  -2046784.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:35,566] chlorophyll.nn       INFO    :   8999 -  148334656.0 (  -2029984.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:35,894] chlorophyll.nn       INFO    :   9099 -  146322064.0 (  -2012592.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:36,223] chlorophyll.nn       INFO    :   9199 -  144326768.0 (  -1995296.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:36,549] chlorophyll.nn       INFO    :   9299 -  142346624.0 (  -1980144.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:36,889] chlorophyll.nn       INFO    :   9399 -  140370640.0 (  -1975984.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:37,218] chlorophyll.nn       INFO    :   9499 -  138376432.0 (  -1994208.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:37,552] chlorophyll.nn       INFO    :   9599 -  136428160.0 (  -1948272.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:37,883] chlorophyll.nn       INFO    :   9699 -  134521440.0 (  -1906720.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,207] chlorophyll.nn       INFO    :   9799 -  132639952.0 (  -1881488.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,533] chlorophyll.nn       INFO    :   9899 -  130783488.0 (  -1856464.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,857] chlorophyll.nn       INFO    :   9999 -  128952432.0 (  -1831056.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:38,858] chlorophyll.nn       INFO    : optimization took 33.97 seconds
[2020-08-16 08:23:38,859] chlorophyll.nn       INFO    : RMSE of validation chlorophyll vs predicted chlorophyll: 6.934104358061564
[2020-08-16 08:23:38,860] chlorophyll.nn       INFO    : standard deviation of validation chlorophyll:            9.383413115176625
